Day,Returning users
0000,5
0001,4
0002,9
0003,3
0004,5
0005,4
0006,5
0007,3
0008,6
0009,5
0010,2
0011,3
0012,2
0013,2
0014,2
0015,1
0016,3
0017,4
0018,1
0019,2
0020,0
0021,3
0022,3
0023,0
0024,1
0025,5
0026,5
0027,2
0028,2
0029,2
0030,1
0031,2
0032,3
0033,0
0034,2
0035,0
0036,1
0037,1
0038,4
0039,4
0040,2
0041,3
0042,5
0043,2
0044,5
0045,2
0046,2
0047,1
0048,2
0049,3
0050,5
0051,3
0052,3
0053,1
0054,5
0055,3
0056,5
0057,2
0058,3
0059,4
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,2
0077,6
0078,2
0079,7
0080,5
0081,8
0082,7
0083,8
0084,7
0085,10
0086,7
0087,10
0088,6
0089,12
0090,6
0091,14
0092,13
0093,15
0094,10
0095,14
0096,6
0097,6
0098,16
0099,20
0100,12
0101,16
0102,40
0103,17
0104,9
0105,17
0106,19
0107,26
0108,19
0109,18
0110,25
0111,21
0112,21
0113,19
0114,17
0115,19
0116,7
0117,14
0118,13
0119,13
0120,19
0121,18
0122,30
0123,31
0124,28
0125,20
0126,8
0127,23
0128,22
0129,25
0130,29
0131,22
0132,16
0133,41
0134,46
0135,39
0136,53
0137,35
0138,28
0139,26
0140,23
0141,30
0142,29
0143,50
0144,43
0145,44
0146,38
0147,49
0148,54
0149,58
0150,64
0151,72
0152,41
0153,34
0154,57
0155,53
0156,69
0157,57
0158,67
0159,65
0160,47
0161,79
0162,78
0163,76
0164,72
0165,88
0166,64
0167,76
0168,114
0169,95
0170,110
0171,108
0172,81
0173,118
0174,95
0175,123
0176,108
0177,99
0178,114
0179,106
0180,110
0181,98